iter	Passed	Remaining
0	59	59852
1	69	34744
2	77	25826
3	85	21169
4	93	18569
5	99	16516
6	104	14821
7	109	13563
8	112	12416
9	115	11431
10	118	10622
11	122	10088
12	126	9614
13	129	9103
14	131	8654
15	134	8259
16	138	7998
17	142	7761
18	145	7491
19	147	7231
20	150	6995
21	153	6844
22	157	6710
23	161	6570
24	164	6400
25	166	6245
26	171	6174
27	176	6126
28	179	6001
29	181	5878
30	185	5795
31	190	5760
32	193	5684
33	196	5590
34	199	5506
35	203	5442
36	207	5392
37	210	5321
38	213	5261
39	217	5210
40	222	5201
41	227	5189
42	230	5139
43	235	5121
44	240	5096
45	243	5049
46	246	5001
47	250	4973
48	255	4954
49	258	4920
50	262	4880
51	266	4849
52	270	4832
53	274	4815
54	278	4784
55	282	4755
56	286	4747
57	291	4726
58	294	4694
59	298	4669
60	302	4654
61	306	4643
62	310	4615
63	313	4592
64	318	4585
65	323	4574
66	326	4551
67	331	4538
68	335	4529
69	340	4517
70	343	4500
71	347	4484
72	354	4496
73	358	4488
74	362	4468
75	366	4452
76	370	4441
77	374	4422
78	377	4401
79	381	4390
80	386	4383
81	389	4365
82	393	4345
83	397	4334
84	402	4328
85	405	4311
86	409	4294
87	413	4283
88	418	4281
89	422	4267
90	425	4249
91	429	4240
92	434	4237
93	438	4222
94	441	4207
95	445	4197
96	450	4192
97	454	4178
98	457	4163
99	461	4151
100	466	4148
101	470	4139
102	473	4124
103	477	4112
104	483	4118
105	488	4117
106	491	4104
107	496	4097
108	500	4089
109	503	4075
110	507	4060
111	510	4051
112	515	4047
113	519	4037
114	522	4022
115	526	4015
116	531	4012
117	535	4002
118	538	3988
119	542	3976
120	547	3974
121	551	3967
122	554	3954
123	558	3944
124	562	3939
125	566	3931
126	570	3919
127	573	3907
128	577	3901
129	582	3899
130	586	3888
131	590	3880
132	594	3877
133	598	3870
134	602	3858
135	605	3847
136	610	3846
137	616	3850
138	620	3845
139	625	3839
140	629	3836
141	633	3826
142	636	3816
143	641	3811
144	645	3807
145	649	3798
146	652	3788
147	657	3783
148	661	3780
149	665	3771
150	669	3762
151	673	3759
152	679	3760
153	682	3750
154	686	3740
155	690	3734
156	694	3729
157	698	3720
158	701	3711
159	705	3705
160	710	3702
161	714	3695
162	717	3685
163	721	3678
164	726	3674
165	729	3666
166	733	3657
167	737	3650
168	743	3654
169	748	3652
170	751	3643
171	756	3639
172	760	3633
173	763	3625
174	767	3616
175	772	3614
176	776	3612
177	780	3604
178	783	3595
179	788	3591
180	792	3587
181	796	3579
182	799	3570
183	803	3564
184	808	3560
185	811	3552
186	815	3543
187	818	3537
188	824	3537
189	827	3529
190	831	3520
191	834	3513
192	839	3510
193	844	3507
194	847	3499
195	851	3494
196	856	3490
197	860	3483
198	863	3475
199	867	3468
200	872	3470
201	877	3467
202	881	3460
203	885	3453
204	889	3449
205	893	3442
206	896	3434
207	901	3431
208	905	3427
209	909	3420
210	912	3412
211	916	3406
212	921	3404
213	925	3398
214	928	3390
215	932	3385
216	937	3382
217	941	3376
218	944	3368
219	948	3362
220	952	3359
221	956	3353
222	960	3345
223	963	3339
224	968	3335
225	972	3330
226	975	3323
227	979	3315
228	983	3311
229	987	3306
230	991	3300
231	994	3292
232	998	3287
233	1005	3290
234	1009	3287
235	1013	3280
236	1017	3276
237	1021	3271
238	1025	3265
239	1029	3260
240	1033	3256
241	1038	3251
242	1041	3244
243	1044	3237
244	1049	3233
245	1053	3228
246	1056	3221
247	1060	3215
248	1065	3212
249	1070	3210
250	1073	3203
251	1077	3196
252	1081	3193
253	1085	3188
254	1089	3181
255	1092	3174
256	1097	3171
257	1101	3167
258	1105	3161
259	1108	3155
260	1113	3151
261	1116	3143
262	1119	3137
263	1123	3131
264	1126	3124
265	1132	3126
266	1138	3124
267	1141	3117
268	1145	3113
269	1150	3110
270	1153	3103
271	1157	3097
272	1161	3092
273	1165	3089
274	1169	3083
275	1173	3078
276	1178	3075
277	1183	3073
278	1186	3066
279	1190	3060
280	1195	3057
281	1199	3054
282	1203	3047
283	1206	3041
284	1211	3039
285	1215	3035
286	1219	3028
287	1222	3022
288	1226	3017
289	1230	3013
290	1234	3007
291	1237	3001
292	1241	2996
293	1246	2992
294	1249	2986
295	1253	2981
296	1257	2975
297	1263	2976
298	1268	2975
299	1272	2969
300	1277	2967
301	1281	2962
302	1284	2955
303	1288	2949
304	1292	2945
305	1297	2942
306	1300	2936
307	1304	2930
308	1309	2927
